code,name,window,date,close,volume,trading_value
010950,S-Oil,평가일/2M,2026-03-23,106000,579648,62895638900
010950,S-Oil,평가일/2M,2026-03-24,108400,483799,52220853400
010950,S-Oil,평가일/2M,2026-03-25,113300,494701,55337092650
010950,S-Oil,평가일/2M,2026-03-26,112300,299737,33830153100
010950,S-Oil,평가일/2M,2026-03-27,109700,408328,43896569800
010950,S-Oil,평가일/2M,2026-03-30,110100,390212,42747485450
010950,S-Oil,평가일/2M,2026-03-31,105300,509557,54257047400
010950,S-Oil,평가일/2M,2026-04-01,113100,599881,66773428100
010950,S-Oil,평가일/2M,2026-04-02,106500,513820,55160177700
010950,S-Oil,평가일/2M,2026-04-03,111400,467871,51001171500
010950,S-Oil,평가일/2M,2026-04-06,118100,865177,101760512850
010950,S-Oil,평가일/2M,2026-04-07,114800,497660,58300095850
010950,S-Oil,평가일/2M,2026-04-08,112100,618205,69764080950
010950,S-Oil,평가일/2M,2026-04-09,119600,844806,99591850600
010950,S-Oil,평가일/2M,2026-04-10,120700,550835,66206782100
010950,S-Oil,평가일/2M,2026-04-13,122000,623589,76034876300
010950,S-Oil,평가일/2M,2026-04-14,119100,418615,49748342100
010950,S-Oil,평가일/2M,2026-04-15,117500,410464,47835180050
010950,S-Oil,평가일/2M,2026-04-16,118100,299952,35279497650
010950,S-Oil,기준일/2M,2025-10-31,71800,242597,17415036550
010950,S-Oil,기준일/2M,2025-11-03,72300,384310,27499737250
010950,S-Oil,기준일/2M,2025-11-04,77300,1074010,83806066550
010950,S-Oil,기준일/2M,2025-11-05,74900,390169,29254830500
010950,S-Oil,기준일/2M,2025-11-06,76300,464945,35816399700
010950,S-Oil,기준일/2M,2025-11-07,74400,248560,18558872000
010950,S-Oil,기준일/2M,2025-11-10,79000,578025,45608062550
010950,S-Oil,기준일/2M,2025-11-11,82200,649973,53236633650
010950,S-Oil,기준일/2M,2025-11-12,87500,848720,72726004200
010950,S-Oil,기준일/2M,2025-11-13,86300,542107,47601615950
010950,S-Oil,기준일/2M,2025-11-14,85700,299323,25902687700
010950,S-Oil,기준일/2M,2025-11-17,88000,285672,25034552600
010950,S-Oil,기준일/2M,2025-11-18,85700,247276,21386427950
010950,S-Oil,기준일/2M,2025-11-19,90000,780601,69640901100
010950,S-Oil,기준일/2M,2025-11-20,89400,383331,34315903550
010950,S-Oil,기준일/2M,2025-11-21,89700,393965,35217754300
010950,S-Oil,기준일/2M,2025-11-24,81500,774966,64619676850
010950,S-Oil,기준일/2M,2025-11-25,80400,436537,35103056550
010950,S-Oil,기준일/2M,2025-11-26,80900,346957,27837371300
010950,S-Oil,기준일/2M,2025-11-27,77700,583181,45330640900
010950,S-Oil,기준일/2M,2025-11-28,76700,336593,25735329550
010950,S-Oil,기준일/2M,2025-12-01,77900,228697,17751147800
010950,S-Oil,기준일/2M,2025-12-02,80800,352550,28124440300
010950,S-Oil,기준일/2M,2025-12-03,80900,208647,16833384500
010950,S-Oil,기준일/2M,2025-12-04,81400,181219,14593105750
010950,S-Oil,기준일/2M,2025-12-05,80500,163716,13140539250
010950,S-Oil,기준일/2M,2025-12-08,79700,225111,17824384400
010950,S-Oil,기준일/2M,2025-12-09,80600,157173,12630766500
010950,S-Oil,기준일/2M,2025-12-10,81700,242563,19907830150
010950,S-Oil,기준일/2M,2025-12-11,80600,229338,18595309500
010950,S-Oil,기준일/2M,2025-12-12,81600,144842,11830447350
010950,S-Oil,기준일/2M,2025-12-15,86400,594216,51836990800
010950,S-Oil,기준일/2M,2025-12-16,83800,235509,19865302300
010950,S-Oil,기준일/2M,2025-12-17,84900,261644,22065498800
010950,S-Oil,기준일/2M,2025-12-18,80500,312492,25434894900
010950,S-Oil,기준일/2M,2025-12-19,81500,167095,13558349200
010950,S-Oil,기준일/2M,2025-12-22,84000,216226,18124257900
010950,S-Oil,기준일/2M,2025-12-23,84000,87985,7381520350
010950,S-Oil,기준일/2M,2025-12-24,83200,98317,8222447850
010950,S-Oil,기준일/2M,2025-12-26,82000,148809,12183605250
010950,S-Oil,기준일/2M,2025-12-29,81300,165928,13407314400
010950,S-Oil,기준일/2M,2025-12-30,83000,160982,13288592700
011170,롯데케미칼,평가일/2M,2026-02-19,81000,177453,14214456400
011170,롯데케미칼,평가일/2M,2026-02-20,85200,271350,22759506750
011170,롯데케미칼,평가일/2M,2026-02-23,86200,348152,29799769600
011170,롯데케미칼,평가일/2M,2026-02-24,91500,881915,82022689000
011170,롯데케미칼,평가일/2M,2026-02-25,90300,373776,33723949250
011170,롯데케미칼,평가일/2M,2026-02-26,90000,280426,25762340250
011170,롯데케미칼,평가일/2M,2026-02-27,95900,553061,53029755450
011170,롯데케미칼,평가일/2M,2026-03-03,84300,521145,46113998350
011170,롯데케미칼,평가일/2M,2026-03-04,71800,291499,22019358600
011170,롯데케미칼,평가일/2M,2026-03-05,73000,381417,28329368700
011170,롯데케미칼,평가일/2M,2026-03-06,75400,231482,16996336950
011170,롯데케미칼,평가일/2M,2026-03-09,71200,263758,18525010500
